Date,rs_korea
2021-04-15,74.90354213386698
2021-04-16,74.75427085557547
2021-04-19,75.12853894444275
2021-04-20,76.19983381384554
2021-04-21,74.33622655221195
2021-04-22,75.15999690024955
2021-04-23,74.43713760328463
2021-04-26,75.13320677130679
2021-04-27,75.10011024638452
2021-04-28,74.32852922129479
2021-04-29,73.68606873054095
2021-04-30,73.56092945822729
2021-05-03,72.92085868696894
2021-05-04,73.84676652498375
2021-05-06,73.54273966478895
2021-05-07,73.86081576142747
2021-05-10,75.81515684816948
2021-05-11,75.55923761117401
2021-05-12,76.05030372635213
2021-05-13,74.20755040682718
2021-05-14,73.81588804607834
2021-05-17,73.56298381909566
2021-05-18,75.11439900586488
2021-05-20,74.2573627591166
2021-05-21,74.18048853029816
2021-05-24,73.14994785279006
2021-05-25,73.94261397308316
2021-05-26,73.72889848812756
2021-05-27,73.62230697182788
2021-05-28,74.02991468070057
2021-06-01,74.86525992840724
2021-06-02,74.80244563673779
2021-06-03,75.6213411470385
2021-06-04,74.76638793683318
2021-06-07,75.11710254448526
2021-06-08,75.00202525063501
2021-06-09,74.38210345399942
2021-06-10,74.2327040373003
2021-06-11,74.67744141678499
2021-06-14,74.57504281601082
2021-06-15,74.86140756250836
2021-06-16,75.74493037770276
2021-06-17,75.45298942321399
2021-06-18,76.55437288566367
2021-06-21,74.84708522216104
2021-06-22,74.97951172523375
2021-06-23,75.35311924964424
2021-06-24,75.13657076966066
2021-06-25,75.25203980691593
2021-06-28,75.07902969864098
2021-06-29,74.6929882096405
2021-06-30,74.85725314389752
2021-07-01,74.11492835331892
2021-07-02,73.54644259048344
2021-07-06,74.2066920025875
2021-07-07,73.50082177120815
2021-07-08,73.36793682880099
2021-07-09,71.817931338464
2021-07-12,72.19583065757195
2021-07-13,72.9986420997391
2021-07-14,72.74349577314
2021-07-15,73.47147344143914
2021-07-16,73.84251135216753
2021-07-19,74.19755714554529
2021-07-20,72.89358126397224
2021-07-21,71.93262159794966
2021-07-22,72.54790453301688
2021-07-23,71.90214447199675
2021-07-26,71.07654415102996
2021-07-27,71.56979765791726
2021-07-28,71.69508137425618
2021-07-29,71.52665929508798
2021-07-30,70.9817773815253
2021-08-02,71.59125603362415
2021-08-03,71.32419358512678
2021-08-04,72.63420314463784
2021-08-05,72.08359449586338
2021-08-06,71.83793303972651
2021-08-09,71.67790223818623
2021-08-10,71.21052062741859
2021-08-11,70.53968821455534
2021-08-12,70.06161547929221
2021-08-13,69.12588356748668
2021-08-17,68.80127008190043
2021-08-18,69.91320039432021
2021-08-19,68.45493451695785
2021-08-20,67.09636042987506
2021-08-23,67.15674002871
2021-08-24,68.09373575714278
2021-08-25,68.13541776502144
2021-08-26,68.14186958031362
2021-08-27,67.6539357830154
2021-08-30,67.57888035758735
2021-08-31,68.86477982000554
2021-09-01,68.99491580064286
2021-09-02,68.11477972463017
2021-09-03,68.6721502109598
2021-09-07,68.6249039343715
2021-09-08,68.18198709743163
2021-09-09,67.42966201255837
2021-09-10,68.20686453081929
2021-09-13,68.0784676145858
2021-09-14,68.90672476082334
2021-09-15,68.43511444997392
2021-09-16,68.03711782180942
2021-09-17,68.93510618134138
2021-09-23,68.37554694010583
2021-09-24,68.21203268932575
2021-09-27,68.59160891283807
2021-09-28,69.20432987729818
2021-09-29,68.24840829744457
2021-09-30,69.28591849769377
2021-10-01,67.36460214571515
2021-10-05,66.2665430497271
2021-10-06,64.79238082571494
2021-10-07,65.36676576706328
2021-10-08,65.4162770594384
