Date,rs_small
2021-11-11,89.27369907173517
2021-11-12,88.69390846906148
2021-11-15,88.31182914800488
2021-11-16,88.12595421533503
2021-11-17,87.18357731057208
2021-11-18,86.52006217266639
2021-11-19,85.8852901927903
2021-11-22,85.76138429148078
2021-11-23,85.4999634106192
2021-11-24,85.36445350085471
2021-11-26,84.02034425016545
2021-11-29,82.95005913527704
2021-11-30,82.87157338253101
2021-12-01,81.91637069763557
2021-12-02,82.93165939254733
2021-12-03,81.94219902113336
2021-12-06,82.60872193552156
2021-12-07,82.81180424350715
2021-12-08,83.15700888972005
2021-12-09,81.82615404471197
2021-12-10,80.83882476223825
2021-12-13,80.36939395612076
2021-12-14,80.22943271318684
2021-12-15,80.24913558894666
2021-12-16,79.3258286045477
2021-12-17,80.9163416427248
2021-12-20,80.63797541355143
2021-12-21,81.49443270265142
2021-12-22,81.46427594744317
2021-12-23,81.60738418788901
2021-12-27,81.22239310531086
2021-12-28,80.79193337498134
2021-12-29,80.77565173386058
2021-12-30,80.97776993009983
2021-12-31,81.0075729234121
2022-01-03,81.58035618746847
2022-01-04,81.48456778072813
2022-01-05,80.26599428479709
2022-01-06,80.79980013503543
2022-01-07,80.1816423347492
2022-01-10,80.00287484525171
2022-01-11,80.12393478981372
2022-01-12,79.31302972657024
2022-01-13,79.68387825301278
2022-01-14,79.76296840403452
2022-01-18,78.74578575187229
2022-01-19,78.27789953742415
2022-01-20,77.72151759817605
2022-01-21,77.79293188028683
2022-01-24,79.24925683094122
2022-01-25,79.15788937180216
2022-01-26,78.21155246551008
2022-01-27,76.8148928473192
2022-01-28,76.41313926408792
2022-01-31,77.3639927190017
2022-02-01,77.65430178996078
2022-02-02,76.14329229017062
2022-02-03,76.50054802722633
2022-02-04,76.47018184313397
2022-02-07,77.09535321736463
2022-02-08,77.77029958371105
2022-02-09,78.10386367687761
2022-02-10,78.31246382314069
2022-02-11,79.07879070524098
2022-02-14,79.06240253726124
2022-02-15,79.89354470060628
2022-02-16,79.9706376867323
2022-02-17,79.6227503188756
2022-02-18,79.45258283462859
2022-02-22,79.18306770437337
2022-02-23,79.10456455895718
2022-02-24,79.97516715627523
2022-02-25,80.01089933044803
2022-02-28,80.54096502503313
2022-03-01,80.24593734895453
2022-03-02,80.67259766569306
2022-03-03,80.11556074124783
2022-03-04,79.50712364053032
2022-03-07,79.88498665607622
2022-03-08,80.93990587948899
2022-03-09,81.0481487103149
2022-03-10,81.26944576956903
2022-03-11,81.00263585246577
2022-03-14,79.9315950678133
2022-03-15,79.4576318838216
2022-03-16,80.17976668934504
2022-03-17,80.43212162323276
2022-03-18,80.39856813502226
2022-03-21,79.71203868750754
2022-03-22,79.58012358676632
2022-03-23,79.21969409853328
2022-03-24,78.94062463614374
2022-03-25,78.66383054384146
2022-03-28,78.13477128409849
2022-03-29,79.24625279886392
2022-03-30,78.1378983199736
2022-03-31,78.52158516653172
2022-04-01,79.17699418528117
2022-04-04,78.6330686459963
2022-04-05,77.75442531803694
2022-04-06,77.4254915743747
2022-04-07,76.78705790206094
2022-04-08,76.37917135999832
2022-04-11,77.18506028139338
2022-04-12,77.71650053384596
2022-04-13,78.29786346039714
2022-04-14,78.51559799335476
2022-04-18,77.95472364966152
2022-04-19,78.2458378964725
2022-04-20,78.60305034273541
2022-04-21,78.00969995682257
2022-04-22,78.13439732953117
2022-04-25,78.1557352943723
2022-04-26,77.94980897618763
2022-04-27,77.4083122849235
2022-04-28,76.9105567512005
2022-04-29,77.55559261248413
2022-05-02,77.9001742369395
2022-05-03,78.20857292158112
2022-05-04,77.92265872552917
2022-05-05,77.51694212875115
